stars,review_count,BusinessAcceptsCreditCards,OutdoorSeating,RestaurantsReservations,Caters,RestaurantsTakeOut,GoodForKids,RestaurantsGoodForGroups,RestaurantsDelivery,HasTV,BikeParking
2,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1.5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
2.5,20,TRUE,TRUE,,,TRUE,TRUE,TRUE,FALSE,TRUE,
2.5,38,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
4.5,95,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1.5,37,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1.5,100,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,75,TRUE,TRUE,,TRUE,TRUE,,,TRUE,FALSE,
1.5,15,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,
4.5,6,,,,,TRUE,,,TRUE,,
3.5,42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,17,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
2.5,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
3.5,24,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,TRUE
4,10,,FALSE,TRUE,FALSE,TRUE,,,TRUE,TRUE,TRUE
1.5,17,,,,,TRUE,TRUE,,TRUE,,
4,618,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
4,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
2,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,189,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,6,,FALSE,,,,,,,,
3.5,26,,,,,TRUE,,,TRUE,,
1.5,62,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,21,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,31,TRUE,,,,TRUE,,,TRUE,TRUE,
4,10,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE
4,19,,,,TRUE,TRUE,,,TRUE,,
