state,stars,review_count,BusinessAcceptsCreditCards,OutdoorSeating,RestaurantsReservations,Caters,RestaurantsTakeOut,GoodForKids,RestaurantsGoodForGroups,RestaurantsDelivery,HasTV,BikeParking
TN,2,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,1.5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
PA,2.5,20,TRUE,TRUE,,,TRUE,TRUE,TRUE,FALSE,TRUE,
LA,2.5,38,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
FL,4.5,95,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
TN,1.5,37,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
MO,1.5,100,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,4,75,TRUE,TRUE,,TRUE,TRUE,,,TRUE,FALSE,
PA,1.5,15,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,
FL,4.5,6,,,,,TRUE,,,TRUE,,
FL,3.5,42,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AB,3.5,17,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,
AZ,2.5,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,
FL,3.5,24,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,TRUE
AB,4,10,,FALSE,TRUE,FALSE,TRUE,,,TRUE,TRUE,TRUE
PA,1.5,17,,,,,TRUE,TRUE,,TRUE,,
PA,4,618,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
FL,4,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
NJ,2,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
CA,4,189,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MO,2,6,,FALSE,,,,,,,,
PA,3.5,26,,,,,TRUE,,,TRUE,,
MO,1.5,62,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,2,21,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PA,4,31,TRUE,,,,TRUE,,,TRUE,TRUE,
FL,4,10,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE
ID,4,19,,,,TRUE,TRUE,,,TRUE,,
FL,2,6,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,,
PA,1.5,20,TRUE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
TN,3,402,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
PA,3,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
MO,2,6,,,,,TRUE,,,TRUE,,
FL,2.5,27,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
IN,2,34,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FL,3.5,29,TRUE,TRUE,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PA,4,88,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TN,3.5,329,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LA,4.5,13,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
TN,3.5,472,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
AB,4,37,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
AZ,2.5,14,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
TN,2.5,38,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AZ,2,13,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
AB,3.5,54,,TRUE,TRUE,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
